"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.3",2,0,0,0,0,0,0,56
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.1",3,0,25,0,0,11,13,6
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.31",0,9,0,49,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Nannizziopsiaceae.g__Nannizziopsis",0,32,0,11,12,0,3,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Tetraplosphaeriaceae",0,10,0,37,4,0,7,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.11",0,0,0,0,0,58,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Ramariopsis.s__unidentified",0,0,0,0,0,0,0,58
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.18",0,0,0,0,0,0,0,58
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Venturiaceae",0,0,0,0,0,0,0,58
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.8",5,0,6,0,0,46,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.11",16,0,0,0,0,0,0,41
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.18",16,0,0,0,0,0,27,14
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Trichosporonales.f__Trichosporonaceae.5",48,0,9,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.29",6,0,9,0,0,34,0,8
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Branch06.f__unidentified.g__unidentified.s__unidentified",0,0,9,0,0,0,45,3
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.1",0,0,57,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Trichosphaeriales.f__Trichosphaeriaceae.g__Nigrospora",0,21,0,8,28,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.1",0,19,0,7,23,0,8,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Trichosphaeriales.f__Trichosphaeriaceae.g__Nigrospora.1",0,48,0,0,0,0,9,0
"k__Fungi.p__Zoopagomycota.c__Zoopagomycetes.o__Zoopagales.f__unidentified.g__unidentified.s__unidentified.2",0,57,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.g__Paraphaeosphaeria",0,20,0,13,24,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.32",0,57,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.30",0,0,0,0,0,41,0,16
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.2",0,0,0,20,37,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lycoperdaceae.1",0,0,0,57,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Annulohypoxylon.1",50,0,6,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.4",22,0,8,0,0,0,16,10
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.4",25,0,31,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.31",0,0,12,0,0,26,0,18
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Branch06.f__unidentified.g__unidentified.s__unidentified.1",0,27,0,13,16,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.14",0,14,0,27,0,15,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.5",0,6,0,0,50,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS11.f__unidentified.g__unidentified.s__unidentified.12",0,0,0,40,16,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.s__Penicillium_bilaiae",0,0,0,0,0,0,0,56
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.24",55,0,0,0,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.11",2,15,0,9,26,3,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Geastrales.f__Geastraceae.g__Geastrum.1",4,0,0,0,0,0,51,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.s__unidentified",6,0,0,0,0,49,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.16",55,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.3",0,0,16,0,0,0,39,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.3",0,23,0,0,8,4,20,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.7",0,0,0,44,0,11,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.17",0,0,0,0,0,0,0,55
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__unidentified.s__unidentified.1",0,0,0,0,0,0,0,55
"k__Fungi.5",0,0,0,0,0,0,0,55
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.17",16,0,38,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.g__Chaetosphaeria.4",0,0,11,0,43,0,0,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified.4",0,0,47,0,0,0,7,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.3",0,0,54,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.1",0,54,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Sebacinales.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,54,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.33",0,0,0,0,0,54,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.21",0,0,0,0,0,0,0,54
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.13",0,0,0,0,0,0,0,54
"k__Fungi.p__Basidiomycota.c__Dacrymycetes.o__Dacrymycetales.f__Dacrymycetaceae.g__Dacryopinax.s__Dacryopinax_martinii",0,0,0,0,0,0,0,54
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Thelephorales.f__Thelephoraceae.g__unidentified.s__unidentified.1",4,0,0,0,16,10,23,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.3",25,6,13,0,3,2,4,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.25",0,33,0,20,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.18",0,53,0,0,0,0,0,0
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia.s__unidentified.5",0,0,0,0,0,0,0,53
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.s__unidentified.5",0,0,0,0,0,0,0,53
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.4",52,0,0,0,0,0,0,0
"k__Fungi.p__Mucoromycota.c__Endogonomycetes.o__Endogonales.f__unidentified.g__unidentified.s__unidentified",2,0,0,0,0,0,0,50
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",52,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.15",52,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.15",27,0,15,0,0,0,10,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.3",9,10,0,14,19,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Schizoporaceae.g__Xylodon",0,52,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae",0,17,0,24,11,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.g__Tolypocladium.3",0,0,0,0,0,4,0,48
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.10",0,0,0,0,0,0,0,52
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.11",0,0,0,0,0,0,0,52
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.17",51,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.4",41,0,0,0,0,10,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Galerina.1",5,0,0,0,0,14,0,32
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Trichosphaeriales.f__Trichosphaeriaceae.g__Nigrospora.2",0,0,7,9,35,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Ophiocordycipitaceae.2",0,26,0,0,0,0,11,14
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymellaceae.4",0,0,0,12,39,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.17",50,0,0,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.2",0,0,8,0,0,0,42,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Morosphaeriaceae.2",0,0,50,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales.f__Atractiellales_fam_Incertae_sedis.g__Helicogloea",0,3,42,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Mycoleptodiscus.1",0,0,48,0,0,0,0,2
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales",0,30,0,0,20,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__unidentified.s__unidentified",0,30,0,0,20,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Auriculariales.2",0,0,0,0,0,0,50,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.34",0,0,0,0,0,50,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__unidentified.s__unidentified",0,0,0,0,0,50,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.22",0,0,0,0,0,33,0,17
"k__Fungi.p__Ascomycota.c__Sordariomycetes.23",0,0,0,0,0,50,0,0
"k__Fungi.p__Ascomycota.c__Archaeorhizomycetes.o__Archaeorhizomycetales.f__Archaeorhizomycetaceae.g__Archaeorhizomyces.s__unidentified.2",2,2,20,0,0,18,7,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.7",49,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.12",8,0,0,0,0,0,41,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.32",0,10,39,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.4",0,0,15,0,0,29,0,5
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.5",0,44,0,0,0,0,5,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.4",0,0,0,0,0,0,49,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.26",0,0,0,0,0,0,49,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.12",0,0,0,0,0,0,0,49
"k__Fungi.p__Ascomycota.c__Geoglossomycetes.o__Geoglossales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,0,49
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.13",13,0,0,0,0,0,35,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.19",28,0,10,0,0,10,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporales_fam_Incertae_sedis.g__Nigrograna",35,0,13,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.g__Pseudosigmoidea",31,0,0,0,0,17,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__unidentified.g__unidentified.s__unidentified.3",48,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.16",0,0,40,0,8,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Tricholoma.1",0,0,14,0,0,16,18,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.4",0,0,10,0,0,38,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Branch06.f__unidentified.g__unidentified.s__unidentified.2",0,0,48,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.9",0,33,0,15,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Phaeomoniellales",0,0,0,8,0,7,33,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes",0,0,0,25,0,19,4,0
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__unidentified.g__unidentified.s__unidentified.2",0,0,0,0,40,8,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.5",0,0,0,0,0,48,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.27",0,0,0,6,42,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Clavariaceae.g__Clavaria.s__unidentified",0,0,0,0,0,0,0,48
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.9",0,0,0,0,0,0,0,48
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Leohumicola.s__unidentified.10",0,0,0,0,0,0,0,48
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Hygrophoraceae.g__Hygrocybe.4",47,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.19",15,0,0,0,0,32,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Entoloma.1",2,0,0,0,0,0,45,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.3",3,0,11,0,0,0,0,33
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.8",9,0,0,12,26,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.g__Scedosporium.1",21,0,0,7,9,10,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Arthrobotrys.1",47,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.1",18,0,29,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.2",22,0,25,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified.3",11,0,36,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.18",47,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.28",0,6,4,23,5,0,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Graphiaceae.g__Graphium.1",0,0,47,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Exophiala.5",0,0,0,0,0,0,47,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis",0,0,0,0,0,0,47,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.3",0,0,0,0,0,0,47,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.2",0,0,0,18,29,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.10",8,5,0,0,0,12,0,21
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenaceae.1",24,5,10,0,4,0,3,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.4",9,0,0,0,0,0,37,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.33",46,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.8",13,0,5,0,0,0,0,28
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.6",18,0,0,0,0,0,0,28
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.19",15,0,31,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.s__unidentified.3",0,0,37,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.14",0,36,5,0,5,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.5",0,0,2,0,0,0,44,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.1",0,20,0,0,14,0,12,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.17",0,16,0,21,9,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.5",0,9,0,23,9,0,5,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.4",0,25,0,0,21,0,0,0
"k__Fungi.p__Basidiomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,46,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.5",0,0,0,0,0,46,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.8",0,0,0,0,0,0,0,46
"k__Fungi.p__Mucoromycota.c__Mucoromycetes.o__Mucorales.f__Cunninghamellaceae.g__Absidia",0,0,0,0,0,0,0,46
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__unidentified.g__unidentified.s__unidentified.1",17,0,8,8,0,12,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.35",4,0,0,0,41,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.4",6,0,14,0,0,0,25,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.20",8,0,37,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.6",0,0,37,0,0,0,8,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.34",0,18,0,0,0,27,0,0
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.7",0,5,0,4,20,7,9,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.3",0,0,0,0,0,0,45,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.4",0,0,0,0,0,45,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.8",0,0,0,6,0,32,0,7
"k__Fungi.p__Basidiomycota.c__Spiculogloeomycetes.o__Spiculogloeales.f__unidentified.g__unidentified.s__unidentified.8",0,0,0,0,0,0,0,45
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Volutella",22,0,22,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Venturiaceae.1",29,0,4,0,0,0,0,11
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.15",12,0,7,0,0,0,25,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.29",0,0,44,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.4",0,0,8,6,15,0,15,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.16",0,18,0,10,16,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.30",0,34,0,10,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Acremonium.1",0,34,0,0,10,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Myrmecridiales.f__unidentified.g__unidentified.s__unidentified.7",0,17,0,0,0,0,27,0
"k__Fungi.p__Chytridiomycota.c__Chytridiomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified",0,27,0,9,5,0,0,3
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae.3",0,9,0,25,10,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Claviceps.s__unidentified",0,5,0,39,0,0,0,0
"k__Fungi.p__Chytridiomycota.c__Rhizophydiomycetes.o__Rhizophydiales.f__unidentified.g__unidentified.s__unidentified.1",0,26,0,2,0,16,0,0
"k__Fungi.p__Basidiomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.1",0,2,0,0,0,0,42,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Annulohypoxylon.2",0,0,0,0,0,0,44,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Entoloma.2",0,0,0,0,0,10,0,34
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.16",0,0,0,0,0,0,0,44
"k__Fungi.p__Ascomycota.c__Archaeorhizomycetes.o__Archaeorhizomycetales.f__Archaeorhizomycetaceae.g__Archaeorhizomyces.s__unidentified.3",0,0,0,0,0,0,0,44
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__Branch02.f__unidentified.g__unidentified.s__unidentified",0,0,0,0,0,0,0,44
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.20",17,0,26,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.5",14,0,17,0,0,12,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__unidentified.g__unidentified.s__unidentified.4",6,19,9,0,0,0,9,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.g__Arthrobotrys.2",24,0,19,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.5",6,0,0,37,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.11",0,0,14,5,0,0,24,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.6",0,0,6,18,19,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.6",0,0,43,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__unidentified.s__unidentified.7",0,43,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Lycoperdaceae.2",0,43,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Cladosporium",0,43,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.36",0,33,0,0,10,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.6",0,8,0,12,23,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Sporocadaceae.2",0,43,0,0,0,0,0,0
