"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Stachybotryaceae",0,21,0,0,355,14,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.4",19,48,45,87,87,0,110,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Polyporales.f__Ganodermataceae.g__Ganoderma.1",83,42,111,0,15,6,92,41
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.3",284,0,106,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.g__Fusarium.2",0,116,68,0,165,0,40,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium",22,31,190,33,38,23,51,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.1",109,0,104,0,0,0,172,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.g__Coniochaeta",0,60,0,254,66,4,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Ascobolaceae.g__Ascobolus",120,0,9,5,237,0,12,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.7",0,50,96,0,23,0,0,214
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Didymosphaeriaceae.1",123,0,81,0,0,6,0,166
"k__Fungi",85,21,62,55,21,9,24,96
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.2",20,18,21,140,53,55,23,43
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.5",15,13,7,0,0,109,225,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.8",11,0,186,0,0,132,39,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Pseudophialophora",0,0,0,366,0,0,0,0
